DenverCO,397236
JerseyCityNJ,242123
WashingtonDC-MD-VA-WV,432003
BakersfieldCA,254036
BostonMA-NH,202513
VenturaCA,251734
SaltLakeCity-OgdenUT,144600
ChicagoIL,1416584
McAllen-Edinburg-MissionTX,503100
Middlesex-Somerset-HunterdonNJ,131122
OrangeCountyCA,875579
SacramentoCA,234475
SanJoseCA,403401
DetroitMI,128075
LasVegasNV-AZ,322038
SanFranciscoCA,291563
FortWorth-ArlingtonTX,309851
SalinasCA,187969
Bergen-PassaicNJ,237869
Visalia-Tulare-PortervilleCA,186846
FresnoCA,406151
Portland-VancouverOR-WA,142444
DallasTX,810499
Tampa-St.Petersburg-ClearwaterFL,248642
AtlantaGA,268851
Brownsville-Harlingen-SanBenitoTX,282736
PhiladelphiaPA-NJ,258606
WestPalmBeach-BocaRatonFL,140675
OrlandoFL,271627
CorpusChristiTX,208132
SanAntonioTX,816037
MiamiFL,1290224
NewarkNJ,270557
Riverside-SanBernardinoCA,1228962
OaklandCA,441686
LosAngeles-LongBeachCA,4242213
LaredoTX,182070
ModestoCA,141871
HoustonTX,1248586
SanDiegoCA,750965
Stockton-LodiCA,172073
FortLauderdaleFL,271652
NewYorkNY,2339836
SantaBarbara-SantaMaria-LompocCA,136668
Nassau-SuffolkNY,282693
ElPasoTX,531654
Phoenix-MesaAZ,817012
Austin-SanMarcosTX,327760
AlbuquerqueNM,295239
TucsonAZ,247578
